title,country,year_release,box_office,type_of_subject,lead_actor_actress
Rise of the Footsoldier,UK,2007,NA,Criminal,Ricci Harnett
Rob Roy,US/UK,1995,31600000,Other,Liam Neeson
Romero,US,1989,1320000,Other,Raul Julia
Rosewater,US,2014,3090000,Media,Gael Garc�_a Bernal
Rudy,US,1993,22800000,Athlete,Sean Astin
Rush,US/UK,2013,26900000,Athlete,Chris Hemsworth
Rush,US/UK,2013,26900000,Athlete,Daniel Br�_hl
Saint Joan,US,1957,NA,Historical,Jean Seberg
Salome's Last Dance,US/UK,1988,331000,Author,Nickolas Grace
Santa Fe Trail,US,1940,NA,Other,Raymond Massey
Savage Messiah,UK,1972,NA,Artist,Scott Antony
Saving Mr. Banks,US/UK,2013,83300000,Other,Tom Hanks
Saving Mr. Banks,US/UK,2013,83300000,Author,Emma Thompson
Schindler's List,US,1993,96100000,Other,Liam Neeson
Scott of the Antarctic,UK,1948,NA,Other,John Mills
Searching for Bobby Fischer,US,1993,7270000,Other,Max Pomeranc
Selena,US,1997,35400000,Singer,Jennifer Lopez
Self Medicated,US,2005,98800,Other,Monty Lapica
Selma,US/UK,2014,52100000,Activist,David Oyelowo
Sergeant York,US,1941,16399999.999999998,Military,Gary Cooper
Serpico,US,1973,NA,Other,Al Pacino
Set Fire to the Stars,UK,2014,3270,Author (poet),Celyn Jones
Seven Years in Tibet,US/UK,1997,37900000,Other,Brad Pitt
Sex & Drugs & Rock & Roll,UK,2010,NA,Musician,Andy Serkis
Shadowlands,UK,1993,25800000,Author,Anthony Hopkins
Shadowlands,UK,1993,25800000,Author (poet),Debra Winger
Sid and Nancy,UK,1986,2830000,Singer,Gary Oldman
Sid and Nancy,UK,1986,2830000,Other,Chloe Webb
Silkwood,US,1983,35600000,Activist,Meryl Streep
Sister Kenny,US,1946,NA,Medicine,Rosalind Russell
Sixty Six,UK,2006,225000,Other,Gregg Sulkin
Skin,UK,2008,NA,Other,Sophie Okonedo
Somebody Up There Likes Me,US,1956,NA,Athlete,Paul Newman
Son of God,US,2014,59700000,Historical,Diogo Morgado
Soul Surfer,US,2011,43900000,Athlete,AnnaSophia Robb
Spartacus,US,1960,NA,Historical,Kirk Douglas
Spitfire,UK,1942,NA,Military,Leslie Howard
Squanto: A Warrior's Tale,US,1994,3340000,Historical,Adam Beach
Stander,Canada/UK,2003,19100,Other,Thomas Jane
Star 80,US,1983,6500000,Actress,Mariel Hemingway
Star!,US,1968,4000000,Actress,Julie Andrews
Stars and Stripes Forever,US,1952,NA,Musician,Clifton Webb
Steal This Movie,US,2000,76100,Activist,Vincent D'Onofrio
Stealing Sinatra,US,2003,NA,Criminal,David Arquette
Stealing Sinatra,US,2003,NA,Other,Thomas Ian Nicholas
Stoned,UK,2005,NA,Musician,Leo Gregory
Story of G.I. Joe,US,1945,NA,Media,Burgess Meredith
Strauss' Great Waltz,UK,1934,NA,Musician,Edmund Gwenn
Strauss' Great Waltz,UK,1934,NA,Musician,Esmond Knight
Sunrise at Campobello,US,1960,NA,World leader,Ralph Bellamy
Surviving Picasso,US,1996,1990000,Artist,Natascha McElhone
Sweet Dreams,US,1985,NA,Singer,Jessica Lange
Swimming Upstream,US,2003,47200,Athlete,Geoffrey Rush
Swoon,US,1992,340000,Criminal,Craig Chester
Swoon,US,1992,340000,Criminal,Daniel Schlachet
Sylvia,UK,2003,1300000,Author (poet),Gwyneth Paltrow
Sylvia,UK,2003,1300000,Author (poet),Daniel Craig
Talk to Me,US,2007,4470000,Activist,Don Cheadle
Ted Bundy,US,2002,NA,Criminal,Michael Reilly Burke
Telstar: The Joe Meek Story,UK,2008,NA,Musician,Con O'Neill
Testament of Youth,UK,2014,671000,Other,Alicia Vikander
The 5th Quarter,US,2010,400000,Athlete,Ryan Merriman
The Actress,US,1953,NA,Actress,Jean Simmons
The Adventures of Marco Polo,US,1938,NA,Historical,Gary Cooper
The Adventures of Mark Twain,US,1944,NA,Author,Frederic March
The Assassination of Jesse James by the Coward Robert Ford,US/UK/Canada,2007,3900000,Criminal,Brad Pitt
The Assassination of Jesse James by the Coward Robert Ford,US/UK/Canada,2007,3900000,Criminal,Casey Affleck
The Assassination of Richard Nixon,US,2004,698000,Other,Sean Penn
The Assassination of Trotsky,UK,1972,NA,Activist,Richard Burton
The Aviator,US,2004,103000000,Other,Leonardo DiCaprio
The Babe,US,1992,17500000,Athlete,John Goodman
The Babe Ruth Story,US,1948,NA,Athlete,William Bendix
The Bang Bang Club,Canada,2010,NA,Media,NA
The Bang Bang Club,Canada,2010,NA,Media,NA
The Bang Bang Club,Canada,2010,NA,Media,NA
The Bang Bang Club,Canada,2010,NA,Media,Taylor Kitsch
The Barretts of Wimpole Street,US,1934,NA,Author (poet),Norma Shearer
The Barretts of Wimpole Street,US,1934,NA,Author (poet),Fredric March
The Basketball Diaries,US,1995,2420000,Author,Leonardo DiCaprio
The Benny Goodman Story,US,1956,NA,Musician,Steve Allen
The Best Intentions,UK,1992,1300000,Other,"With: Samuel Fr���ler, Pernilla August, Max von Sydow"
The Best Intentions,UK,1992,1300000,Other,NA
The Better Angels,US,2014,NA,World leader,Jason Clarke
The Blind Side,US,2009,256000000,Athlete,Quinton Aaron
The Boy in Blue,Canada,1986,275000,Athlete,Nicolas Cage
The Brittany Murphy Story,US,2014,NA,Actress,Amanda Fuller
The Broken Tower,US,2011,NA,Author (poet),James Franco
The Buddy Holly Story,US,1978,NA,Singer,Gary Busey
The Chameleon,US,2010,NA,Criminal,Marc-Andr̩ Grondin
The Color of Freedom,UK,2007,NA,Other,Joseph Fiennes
The Color of Time,US,2012,NA,Author,James Franco
The Conqueror,US,1956,4500000,Military,John Wayne
The Countess,US,2009,NA,Historical,Julie Delpy
The Court-Martial of Billy Mitchell,US,1955,NA,Military,Gary Cooper
The Cross and the Switchblade,US,1970,NA,Other,Pat Boone
The Damned United,UK,2009,450000,Athlete,Michael Sheen
The Desert Fox: The Story of Rommel,US,1951,NA,Military,James Mason
The Diary of Anne Frank,US,1959,NA,Other,Millie Perkins
The Diving Bell and the Butterfly,US,2007,5990000,Media,Mathieu Amalric
The Doors,US,1991,35200000,Singer,Vil Kilmer
The Duchess,US/UK,2008,13800000,Other,Keira Knightley
The Eddy Duchin Story,US,1956,NA,Musician,Tyrone Power
The Edge of Love,UK,2008,28600,Author (poet),Matthew Rhys
The Elephant Man,US,1980,NA,Other,John Hurt
The Entity,US,1982,NA,Other,Barbara Hershey
The Express,US,2008,9590000,Athlete,Rob Brown
The Falcon and the Snowman,US/UK,1985,17100000,Criminal,Timothy Hutton
The Fifth Estate,US,2013,3250000,Other,Benedict Cumberbatch
The Fighter,US,2010,93600000,Athlete,Mark Wahlberg
The First Grader,US,2010,331000,Other,Oliver Litondo
The Five Pennies,US,1959,NA,Musician,Danny Kaye
The Frozen Ground,US,2013,NA,Other,Nicolas Cage
The Frozen Ground,US,2013,NA,Criminal,John Cusack
The Gallant Hours,US,1960,NA,Military,James Cagney
The Gaul,Canada,2001,NA,Historical,Christopher Lambert
The General,UK,1998,1210000,Criminal,Brendan Gleeson
The Girl in the Red Velvet Swing,US,1955,NA,Actress,Joan Collins
The Glenn Miller Story,US,1954,NA,Musician,James Stewart
The Great Caruso,US,1951,NA,Musician,Mario Lanza
The Great Debaters,US,2007,30200000,Academic,Denzel Washington
The Great Moment,US,1944,NA,Medicine,Joel McCrea
The Great Waltz,US,1938,NA,Musician,Fernand Gravey
The Great Ziegfeld,US,1936,NA,Musician,William Powell
The Greatest,US/UK,1977,NA,Athlete,Muhammad Ali
The Greatest Story Ever Told,US,1965,8000000,Historical,Max von Sydow
The Grey Fox,Canada,1982,NA,Other,Richard Farnsworth
The Hammer,US,2010,NA,Athlete,Russell Harvard
The Happy Hooker,US,1975,NA,Other,Lynn Redgrave
The House of Rothschild,US,1934,NA,Other,George Arliss
The Hunter,US,1980,NA,Other,Steve McQueen
The Hurricane,US,1999,50700000,Athlete,Denzel Washington
The Iceman,US,2012,1940000,Criminal,Michael Shannon
The Idolmaker,US,1980,NA,Other,Ray Sharkey
The Imitation Game,US/UK,2014,91100000,Academic,Benedict Cumberbatch
The Inn of the Sixth Happiness,US,1958,NA,Other,Ingrid Bergman
The Insider,US,1999,29000000,Activist,Russell Crowe
The Invisible Woman,UK,2013,1230000,Author,Ralph Fiennes
The Iron Lady,UK,2011,30000000,World leader,Meryl Streep
The Jackie Robinson Story,US,1950,NA,Athlete,Jackie Robinson
The Jesus Film,US,1979,NA,Historical,Brian Deacon
The Jolson Story,US,1946,NA,Musician,Larry Parks
The King and I,US,1956,NA,Other,Deborah Kerr
The King of Kings,US,1927,NA,Historical,H.B. Warner
The King's Speech,US/UK,2010,139000000,Historical,Colin Firth
The Krays,UK,1990,2060000,Criminal,NA
The Krays,UK,1990,2060000,Criminal,"With: Gary Kemp, Martin Kemp, Billie Whitelaw"
The Lady,UK,2011,NA,Activist,Michelle Yeoh
The Last Emperor,UK,1987,109000,World leader,John Lone
The Last King of Scotland,UK,2006,17600000,Other,Forest Whitaker
The Last of Robin Hood,US,2013,270000,Actor,Kevin Kline
The Last Ride,US,2012,NA,Musician,Henry Thomas
The Last Station,UK,2009,6620000,Author,Christopher Plummer
The Last Time I Committed Suicide,US,1997,12800,Author,Thomas Jane
The Lawless Breed,US,1953,NA,Criminal,Rock Hudson
The Left Handed Gun,US,1958,NA,Criminal,Paul Newman
The Life and Death of Peter Sellers,US,2004,NA,Actor,Geoffrey Rush
The Life of Emile Zola,US,1937,NA,Author,Paul Muni
The Long Day Closes,UK,1992,22800,Other,Leigh McCormack
The Long Gray Line,US,1955,NA,Military,Tyrone Power
The Longshots,US,2008,11500000,Athlete,Keke Palmer
The Look of Love,US/UK,2013,10400,Other,Steve Coogan
The Lover,UK,1992,4900000,Other,Jane March
The Madness of King George,UK,1994,15200000,Historical,Nigel Hawthorne
The Magic Box,UK,1951,NA,Other,Robert Donat
The Man Who Saw Tomorrow,US,1981,NA,Academic,Richard Butler
The Message,UK,1977,NA,Historical,Anthony Quinn
The Miracle Maker,UK,2000,NA,Historical,Ralph Fiennes
The Miracle Worker,US,1962,NA,Other,Patty Duke
The Miracle Worker,US,1962,NA,Other,Anne Bancroft
The Motorcycle Diaries,US/UK,2004,16800000,Activist,Gael Garc�_a Bernal
The Music Lovers,UK,1970,NA,Musician,Richard Chamberlain
The New World,US/UK,2005,12700000,Historical,Q'orianka Kilcher
The Night We Called It a Day,US,2003,NA,Singer,Dennis Hopper
The Notorious Bettie Page,US,2005,1410000,Other,Gretchen Mol
The Other Boleyn Girl,US/UK,2008,26800000,Historical,Natalie Portman
The Other Boleyn Girl,US/UK,2008,26800000,Historical,Scarlett Johansson
The Other Side of Heaven,US,2001,4720000,Other,Christopher Gorham
The Other Side of the Mountain,US,1975,NA,Athlete,Marilyn Hassett
The People vs. Larry Flynt,US,1996,20200000,Activist,Woody Harrelson
The Perils of Pauline,US,1947,NA,Actress,Betty Hutton
The Pianist,UK,2002,32500000,Musician,Adrien Brody
The Pistol: The Birth of a Legend,US,1991,NA,Athlete,Adam Guier
The Plainsman,US,1936,NA,Historical,"With: Gary Cooper, Jean Arthur, James Ellison"
The Pride of the Yankees,US,1942,NA,Athlete,Gary Cooper
The Prince of Egypt,US,1998,101000000,Historical,Val Kilmer
The Prince of Egypt,US,1998,101000000,Historical,Ralph Fiennes
The Prisoner of Shark Island,US,1936,NA,Medicine,Warner Baxter
The Private Life of Henry VIII.,UK,1933,NA,Historical,Charles Laughton
The Private Lives of Elizabeth and Essex,US,1939,NA,Historical,Bette Davis
The Private Lives of Elizabeth and Essex,US,1939,NA,Historical,Errol Flynn
"The Prize Winner of Defiance, Ohio",US,2005,626000,Other,Julianne Moore
The Pursuit of Happyness,US,2006,163000000,Other,Will Smith
The Queen,US/UK,2006,56400000,Historical,Helen Mirren
The Railway Man,UK,2013,4440000,Military,Colin Firth
The Red Baron,UK,2008,36600,Military,Matthias Schweigh̦fer
The Rocket: The Legend of Rocket Richard,Canada,2005,NA,Athlete,Roy Dupuis
The Runaways,US,2010,3570000,Musician,Kristen Stewart
The Runaways,US,2010,3570000,Musician,Dakota Fanning
The Sessions,US,2012,6000000,Medicine,John Hawkes
The Seven Little Foys,US,1955,NA,Actor,Bob Hope
The Singing Nun,US,1966,NA,Musician,Debbie Reynolds
The Social Network,US,2010,96900000,Other,Jesse Eisenberg
The Soloist,US/UK,2009,31700000,Musician,Jamie Foxx
The Soloist,US/UK,2009,31700000,Media,"Robert Downey, Jr."
The Song of Bernadette,US,1943,NA,Other,Jennifer Jones
The Soul Keeper,UK,2002,NA,Academic,Iain Glen
The Soul Keeper,UK,2002,NA,Academic,Emilia Fox
The Sound of Music,US,1965,163000000,Singer,Julie Andrews
The Spirit of St. Louis,US,1957,NA,Other,James Stewart
The Story of Alexander Graham Bell,US,1939,NA,Academic,Don Ameche
The Story of Louis Pasteur,US,1936,NA,Academic,Paul Muni
The Story of Vernon and Irene Castle,US,1939,1120000,Artist,Ginger Rogers
The Story of Vernon and Irene Castle,US,1939,1120000,Artist,Fred Astaire
The Straight Story,US/UK,1999,6200000,Other,Richard Farnsworth
The Stratton Story,US,1949,NA,Athlete,James Stewart
The Ten Commandments,US,1956,80000000,Historical,Charlton Heston
The Theory of Everything,UK,2014,35900000,Academic,Eddie Redmayne
The Toast of New York,US,1937,NA,Criminal,Edward Arnold
The Trials of Oscar Wilde,UK,1960,NA,Author,Peter Finch
The True Story of Jesse James,US,1957,NA,Criminal,Robert Wagner
The Unsinkable Molly Brown,US,1964,NA,Other,Debbie Reynolds
The Visual Bible: The Gospel of John,Canada/UK,2003,4070000.0000000005,Historical,Henry Ian Cusick
The Whistleblower,US/Canada,2010,1120000,Other,Rachel Weisz
The Whole Wide World,US,1996,137000,Author,Vincent D'Onofrio
The Whole Wide World,US,1996,137000,Author,Ren̩e Zellweger
The Wings of Eagles,US,1957,NA,Military,John Wayne
The Winning Team,US,1952,NA,Athlete,Ronald Reagan
The Wizard of Speed and Time,US,1988,NA,Other,Mike Jittlov
The Wolf of Wall Street,US,2013,117000000,Criminal,Leonardo DiCaprio
The Wonderful World of the Brothers Grimm,US,1961,NA,Author,Karlheinz B̦hm
The Wonderful World of the Brothers Grimm,US,1961,NA,Author,Laurence Harvey
The World's Fastest Indian,US,2005,5130000,Athlete,Anthony Hopkins
The Young Victoria,US/UK,2009,11000000,Historical,Emily Bunt
They Died with Their Boots On,US,1941,NA,Military,Errol Flynn
Thirteen,US,2003,4600000,Other,Evan Rachel Wood
Thirteen,US,2003,4600000,Other,Holly Hunter
Thirty Two Short Films About Glenn Gould,Canada,1993,1570000,Musician,Colm Feore
This Boy's Life,US,1993,4099999.9999999995,Other,Leonardo DiCaprio
This Is Elvis,US,1981,NA,Musician,Multiple
Thomas Kinkade's Christmas Cottage,US,2008,NA,Artist,Jared Padalecki
Three Little Words,US,1950,NA,Musician,Fred Astaire
Three Little Words,US,1950,NA,Musician,Red Skelton
Till the Clouds Roll By,US,1946,6720000,Musician,Robert Walker
To Hell and Back,US,1955,NA,Military,Audie Murphy
To Kill a King,UK,2003,NA,Historical,Tim Roth
To Kill a King,UK,2003,NA,Historical,Dougray Scott
To Walk with Lions,Canada/UK,1999,NA,Other,Richard Harris
To Walk with Lions,Canada/UK,1999,NA,Other,John Michie
To Write Love on Her Arms,US,2012,NA,Other,Kat Dennings
Tom & Viv,US/UK,1994,539000,Author,Willem Dafoe
Tom & Viv,US/UK,1994,539000,Author,Miranda Richardson
Topsy-Turvy,US/UK,1999,6200000,Musician,Allan Corduner
Topsy-Turvy,US/UK,1999,6200000,Author,Jim Broadbent
Total Eclipse,UK,1995,340000,Author (poet),Leonardo DiCaprio
Total Eclipse,UK,1995,340000,Author (poet),David Thewlis
Triumph of the Spirit,US,1989,409000,Athlete,Willem Dafoe
Tucker: The Man and His Dream,US,1988,19700000,Other,Jeff Bridges
Unbroken,US,2014,116000000,Athlete / military,Jack O'Connell
Valentino,US/UK,1977,NA,Actor,Rudolf Nureyev
Vatel,UK,2000,49500,Other,G̩rard Depardieu
Veronica Guerin,US/UK,2003,1570000,Media,Cate Blanchett
Vincent & Theo,UK,1990,2230000,Other,Paul Rhys
Vincent & Theo,UK,1990,2230000,Artist,Tim Roth
VIPs,US,2010,NA,Criminal,Wagner Moura
Viva Knievel!,US,1977,NA,Athlete,Evel Knievel
Viva Villa!,US,1934,1110000,Military,Wallace Beery
Viva Zapata!,US,1952,NA,Activist,Marlon Brando
Von Richthofen and Brown,US,1971,NA,Military,John Phillip Law
Von Richthofen and Brown,US,1971,NA,Military,Don Stroud
W.,US,2008,25500000,World leader,Josh Brolin
Walk the Line,US,2005,120000000,Musician,Joaquin Phoenix
Walker,US,1987,257000,Other,Ed Harris
Walking Tall Part II,US,1975,NA,Other,Bo Svenson
What We Do Is Secret,US,2007,58800,Singer,Shane West
What's Love Got to Do with It,US,1993,39100000,Singer,Angela Bassett
When Did You Last See Your Father?,UK,2007,1070000,Other,Colin Firth
Where the Buffalo Roam,US,1980,NA,Media,Bill Murray
WhiteLightnin',UK,2009,NA,Other,Edward Hogg
Why Do Fools Fall in Love,US,1998,12400000,Musician,Larenz Tate
Wild,US,2014,37900000,Other,Reese Witherspoon
Wild Bill,US,1995,2170000,Historical,Jeff Bridges
Wilde,UK,1997,2160000,Author,Stephen Fry
Wilson,US,1944,2000000,World leader,Alexander Knox
Winnie Mandela,Canada,2011,NA,Government,Jennifer Hudson
Wired,US,1989,1090000,Comedian,Michael Chiklis
With a Song in My Heart,US,1952,NA,Musician,Susan Hayward
Without Limits,US,1998,777000,Athlete,Billy Crudup
Wittgenstein,UK,1993,NA,Academic (Philosopher),Clancy Chassay
Words and Music,US,1948,NA,Musician,Mickey Rooney
Words and Music,US,1948,NA,Musician,Tom Drake
Wyatt Earp,US,1994,25100000,Other,Kevin Costner
Yankee Doodle Dandy,US,1942,NA,Musician,James Cagney
Young Bess,US,1953,NA,Historical,Jean Simmons
Young Cassidy,UK,1965,NA,Author,Rod Taylor
Young Man with a Horn,US,1950,NA,Musician,Kirk Douglas
Young Mr. Lincoln,US,1939,NA,World leader,Henry Fonda
Young Tom Edison,US,1940,NA,Other,Mickey Rooney
Young Winston,US,1972,NA,World leader,Simon Ward
Your Cheatin' Heart,US,1964,NA,Musician,George Hamilton
